"Times","Stringency","CR.AT1","Humidity.AT1","CL.AT1","CR.AT2","Humidity.AT2","CL.AT2","CR.AT3","Humidity.AT3","CL.AT3","CR.AT4","Humidity.AT4","CL.AT4","CR.AT5","Humidity.AT5","CL.AT5","CR.AT6","Humidity.AT6","CL.AT6","CR.AT7","Humidity.AT7","CL.AT7","CR.AT8","Humidity.AT8","CL.AT8","CR.AT9","Humidity.AT9","CL.AT9"
2020-03-06,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2020-03-07,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2020-03-08,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2020-03-09,0.883169705469846,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2020-03-10,0.883169705469846,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2020-03-11,0.727208976157083,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2020-03-12,0.675315568022441,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2020-03-13,0.480504908835905,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2020-03-14,0.480504908835905,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2020-03-15,0.480504908835905,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2020-03-16,0.0130434782608695,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.00662730160971863
2020-03-17,0.0130434782608695,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.00662730160971863
2020-03-18,0.0130434782608695,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.00662730160971863
2020-03-19,0.0130434782608695,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.00662730160971863
2020-03-20,0.0130434782608695,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.00662730160971863
2020-03-21,0.0130434782608695,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.00662730160971863
2020-03-22,0.0130434782608695,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.00662730160971863
2020-03-23,0.0130434782608695,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.00662730160971863
2020-03-24,0.0130434782608695,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.00662730160971863
2020-03-25,0.0130434782608695,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.00662730160971863
2020-03-26,0.0130434782608695,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.00662730160971863
2020-03-27,0.0130434782608695,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.00662730160971863
2020-03-28,0.0130434782608695,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.00662730160971863
2020-03-29,0.0130434782608695,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.00662730160971863
2020-03-30,0.0130434782608695,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.00662730160971863
2020-03-31,0.0130434782608695,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.00662730160971863
2020-04-01,0.0130434782608695,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.00662730160971863
2020-04-02,0.0130434782608695,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.00662730160971863
2020-04-03,0.0130434782608695,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.00662730160971863
2020-04-04,0.0130434782608695,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.00662730160971863
2020-04-05,0.0130434782608695,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.00662730160971863
2020-04-06,0.0130434782608695,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.00662730160971863
2020-04-07,0.0130434782608695,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.00662730160971863
2020-04-08,0.0130434782608695,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.00662730160971863
2020-04-09,0.0130434782608695,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.00662730160971863
2020-04-10,0.0130434782608695,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.00662730160971863
2020-04-11,0.0130434782608695,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.00662730160971863
2020-04-12,0.0130434782608695,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.00662730160971863
2020-04-13,0.0130434782608695,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.00662730160971863
2020-04-14,0.0649368863955119,NA,NA,NA,NA,NA,NA,0.00857751774511313,0.0117878535832342,0.00645406451201687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0185330733910933,0.0250466981513957,0.0335842243544651
2020-04-15,0.0649368863955119,NA,NA,NA,NA,NA,NA,0.00857751774511313,0.0117878535832342,0.00645406451201687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0185330733910933,0.0250466981513957,0.0335842243544651
2020-04-16,0.0649368863955119,NA,NA,NA,NA,NA,NA,0.00857751774511313,0.0117878535832342,0.00645406451201687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0185330733910933,0.0250466981513957,0.0335842243544651
2020-04-17,0.0649368863955119,NA,NA,NA,NA,NA,NA,0.00857751774511313,0.0117878535832342,0.00645406451201687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0185330733910933,0.0250466981513957,0.0335842243544651
2020-04-18,0.0649368863955119,NA,NA,NA,NA,NA,NA,0.00857751774511313,0.0117878535832342,0.00645406451201687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0185330733910933,0.0250466981513957,0.0335842243544651
2020-04-19,0.0649368863955119,NA,NA,NA,NA,NA,NA,0.00857751774511313,0.0117878535832342,0.00645406451201687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0185330733910933,0.0250466981513957,0.0335842243544651
2020-04-20,0.0649368863955119,NA,NA,NA,NA,NA,NA,0.00857751774511313,0.0117878535832342,0.00645406451201687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0185330733910933,0.0250466981513957,0.0335842243544651
2020-04-21,0.0649368863955119,NA,NA,NA,NA,NA,NA,0.00857751774511313,0.0117878535832342,0.00645406451201687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0185330733910933,0.0250466981513957,0.0335842243544651
2020-04-22,0.0649368863955119,NA,NA,NA,NA,NA,NA,0.00857751774511313,0.0117878535832342,0.00645406451201687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0185330733910933,0.0250466981513957,0.0335842243544651
2020-04-23,0.103927068723703,NA,NA,NA,NA,NA,NA,0.00857751774511313,0.0117878535832342,0.00645406451201687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0185330733910933,0.0250466981513957,0.0335842243544651
2020-04-24,0.103927068723703,NA,NA,NA,NA,NA,NA,0.00857751774511313,0.0117878535832342,0.00645406451201687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0185330733910933,0.0250466981513957,0.0335842243544651
2020-04-25,0.103927068723703,NA,NA,NA,NA,NA,NA,0.00857751774511313,0.0117878535832342,0.00645406451201687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0185330733910933,0.0250466981513957,0.0335842243544651
2020-04-26,0.103927068723703,NA,NA,NA,NA,NA,NA,0.00857751774511313,0.0117878535832342,0.00645406451201687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0185330733910933,0.0250466981513957,0.0335842243544651
2020-04-27,0.103927068723703,NA,NA,NA,NA,NA,NA,0.00857751774511313,0.0117878535832342,0.00645406451201687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0185330733910933,0.0250466981513957,0.0335842243544651
2020-04-28,0.103927068723703,NA,NA,NA,NA,NA,NA,0.00857751774511313,0.0117878535832342,0.00645406451201687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0185330733910933,0.0250466981513957,0.0335842243544651
2020-04-29,0.103927068723703,NA,NA,NA,NA,NA,NA,0.00857751774511313,0.0117878535832342,0.00645406451201687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0185330733910933,0.0250466981513957,0.0335842243544651
2020-04-30,0.103927068723703,NA,NA,NA,NA,NA,NA,0.00857751774511313,0.0117878535832342,0.00645406451201687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0185330733910933,0.0250466981513957,0.0335842243544651
2020-05-01,0.207854137447405,NA,NA,NA,NA,NA,NA,0.00857751774511313,0.0117878535832342,0.00645406451201687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0185330733910933,0.0250466981513957,0.0335842243544651
