Datum,Faelle
06.07.2020,24
05.07.2020,21
04.07.2020,34
03.07.2020,66
02.07.2020,9
01.07.2020,35
30.06.2020,33
29.06.2020,30
28.06.2020,10
27.06.2020,17
26.06.2020,36
25.06.2020,22
24.06.2020,13
23.06.2020,15
22.06.2020,22
21.06.2020,15
20.06.2020,9
19.06.2020,30
18.06.2020,19
17.06.2020,24
16.06.2020,10
15.06.2020,45
14.06.2020,14
13.06.2020,17
12.06.2020,23
11.06.2020,16
10.06.2020,23
09.06.2020,7
08.06.2020,16
07.06.2020,21
06.06.2020,25
05.06.2020,46
04.06.2020,8
03.06.2020,42
02.06.2020,11
01.06.2020,14
31.05.2020,4
30.05.2020,28
29.05.2020,39
28.05.2020,12
27.05.2020,37
26.05.2020,17
25.05.2020,20
24.05.2020,17
23.05.2020,19
22.05.2020,19
21.05.2020,19
20.05.2020,16
19.05.2020,30
18.05.2020,39
17.05.2020,16
16.05.2020,7
15.05.2020,55
14.05.2020,37
13.05.2020,42
12.05.2020,29
11.05.2020,57
10.05.2020,10
09.05.2020,5
08.05.2020,33
07.05.2020,23
06.05.2020,22
05.05.2020,30
04.05.2020,18
03.05.2020,5
02.05.2020,20
01.05.2020,24
30.04.2020,32
29.04.2020,29
28.04.2020,26
27.04.2020,37
26.04.2020,11
25.04.2020,19
24.04.2020,32
23.04.2020,22
22.04.2020,24
21.04.2020,31
20.04.2020,13
19.04.2020,16
18.04.2020,23
17.04.2020,28
16.04.2020,33
15.04.2020,25
14.04.2020,51
13.04.2020,18
12.04.2020,18
11.04.2020,27
10.04.2020,44
09.04.2020,34
08.04.2020,62
07.04.2020,51
06.04.2020,72
05.04.2020,21
04.04.2020,10
03.04.2020,70
02.04.2020,54
01.04.2020,112
31.03.2020,113
30.03.2020,200
29.03.2020,17
28.03.2020,47
27.03.2020,122
26.03.2020,195
25.03.2020,70
24.03.2020,113
23.03.2020,120
22.03.2020,82
21.03.2020,23
20.03.2020,69
19.03.2020,49
18.03.2020,52
17.03.2020,54
16.03.2020,21
15.03.2020,29
14.03.2020,15
13.03.2020,16
12.03.2020,3
11.03.2020,20
10.03.2020,9
09.03.2020,3
08.03.2020,1
07.03.2020,4
06.03.2020,10
05.03.2020,1
04.03.2020,2
03.03.2020,4
02.03.2020,1
01.03.2020,4
29.02.2020,1
28.02.2020,1
27.02.2020,2
26.02.2020,1
