"Burgenland","Kaernten","Niederoesterreich","Oberoesterreich","Salzburg","Steiermark","Tirol","Vorarlberg","Wien","times","mod","weather"
0.737723311366166,0.853429074696542,0.727573871034853,0.836939690952579,0.867196544640136,0.857484150656755,0.770657001326645,0.882763180537078,0.710166970725202,2020-03-01,"Real Data","1"
0.678939022760697,0.87904921836169,0.698910313345261,0.751915790261968,0.846010990313717,0.844927194135193,0.827595739698988,0.861282306921059,0.679985860804232,2020-03-02,"Real Data","1"
0.673738053709628,0.767248918651924,0.602415205133572,0.780721322031602,0.830689561937216,0.766817143157612,0.74147386733774,0.838596765892711,0.588125778928729,2020-03-03,"Real Data","1"
0.603284567999852,0.75828265199719,0.558632338239601,0.754774871839801,0.855876999537927,0.642970627063059,0.860211755614102,0.875554654911907,0.549744935013047,2020-03-04,"Real Data","1"
0.618273083995606,0.790518521072489,0.637333564092032,0.799849619920087,0.879454222135565,0.699754161871655,0.721716991102173,0.842254131311311,0.617197567863193,2020-03-05,"Real Data","1"
0.833465464511291,0.874927720905978,0.837450866742943,0.881140166675876,0.908890967771104,0.86373912422888,0.762477406629156,0.823977370167126,0.836622727674848,2020-03-06,"Real Data","1"
0.824296535920676,0.863400680655422,0.921103675348317,0.910577680992647,0.929621395555515,0.837548813731587,0.775612119356298,0.796295417881379,0.917979397720163,2020-03-07,"Real Data","1"
0.827007340086649,0.865572477821678,0.845029339537974,0.826307235941878,0.884195818291896,0.756578011606747,0.901099731036394,0.929291511634454,0.870947690097538,2020-03-08,"Real Data","1"
0.704105749300972,0.72001592932616,0.696089706328815,0.767540524323069,0.830603875330069,0.703285123354935,0.800308875375228,0.840633505610147,0.679293703258587,2020-03-09,"Real Data","1"
0.72569889255344,0.74337945586542,0.726023923487688,0.891276844890623,0.905047249731165,0.711511705051326,0.752096925817279,0.807722043515275,0.731466430872808,2020-03-10,"Real Data","1"
0.772638966277762,0.889118157014895,0.781226950772775,0.804657553568704,0.868329753762001,0.841230571701458,0.839686707645858,0.863925530255421,0.761847870920586,2020-03-11,"Real Data","1"
0.773547295018056,0.717654692052396,0.689490308036986,0.80510833134942,0.879441419265991,0.711279412348253,0.878030573665813,0.880820350337066,0.713898809835976,2020-03-12,"Real Data","1"
0.652117816741479,0.703913376228583,0.655820671389688,0.776104779569898,0.782905744088362,0.712043365404881,0.719868846260781,0.832173006023366,0.651638724974999,2020-03-13,"Real Data","1"
0.68116959581597,0.76254536074837,0.728811285112839,0.877577565629888,0.889719434395337,0.686769423276188,0.885828317982188,0.872832049200211,0.719441710187428,2020-03-14,"Real Data","1"
0.684859226948132,0.765042728249521,0.698451121511228,0.82631495350391,0.876717718431989,0.761541271472813,0.829347486831226,0.930381643949419,0.698157301714972,2020-03-15,"Real Data","1"
0.601850658326953,0.709626257918949,0.630876111482667,0.701482815034814,0.885839219784216,0.785781306037501,0.812797888857699,0.885041006169611,0.593298246395023,2020-03-16,"Real Data","1"
0.612717193532539,0.745666868276647,0.673698846931479,0.754594730827685,0.815811422922575,0.760965152729998,0.775232710759893,0.811452546768255,0.654526963991874,2020-03-17,"Real Data","1"
0.595435957870747,0.830857750105764,0.664235203750323,0.775288975895665,0.890998424957301,0.784941231865492,0.802850381585964,0.836082483538502,0.610176578719047,2020-03-18,"Real Data","1"
0.708983680596334,0.761654513844284,0.71303150305934,0.873624882033821,0.864305718504859,0.762459312820625,0.759158008001175,0.737415564845494,0.688234878177676,2020-03-19,"Real Data","1"
0.64350151065248,0.731322700572522,0.673994752282348,0.833289456305363,0.851118996204633,0.734560276541904,0.764326393011021,0.741586519856476,0.640491866950433,2020-03-20,"Real Data","1"
0.622612589080683,0.670984289633234,0.623147265545476,0.79064377934533,0.820236855315748,0.655711688369069,0.610615616619857,0.695081114074896,0.620584450953371,2020-03-21,"Real Data","1"
0.596693368478981,0.667561716814127,0.590680752672711,0.725984822963306,0.79276038536903,0.671738120304332,0.727730701411705,0.770415039424438,0.578396273238797,2020-03-22,"Real Data","1"
0.55775108924976,0.607900017721364,0.538099242945589,0.71858383074695,0.799487184900479,0.713461017804635,0.634458736771501,0.748698320095661,0.532746407061546,2020-03-23,"Real Data","1"
0.505553119594845,0.589010494038415,0.494970393147384,0.709819576299078,0.753912426533918,0.713775774645167,0.619136691469932,0.603858833412878,0.50220621039899,2020-03-24,"Real Data","1"
0.595955157552003,0.64546457267771,0.553523468334954,0.719708728638765,0.783646820073617,0.749088537509361,0.593032900511611,0.599854220531025,0.531244411899504,2020-03-25,"Real Data","1"
0.673066107214003,0.704576814366624,0.642448330797138,0.740443576121428,0.874870432795252,0.761897990733906,0.907462406085645,0.92135042181608,0.604489774433219,2020-03-26,"Real Data","1"
0.692373243281413,0.754089165416125,0.737160949373594,0.8021042411575,0.843623693358279,0.822582582696354,0.815251417357217,0.798318140599766,0.731099257424655,2020-03-27,"Real Data","1"
0.735275843654321,0.749686970094863,0.696995519357475,0.772104266542407,0.804050144242165,0.740267593808833,0.769816522624734,0.778641823036717,0.692932146359564,2020-03-28,"Real Data","1"
0.709994451744338,0.750797958789894,0.636308558050472,0.746762121343446,0.82541504542159,0.704724748299318,0.765605743645913,0.765355940419294,0.644444398662171,2020-03-29,"Real Data","1"
0.781270965033568,0.802730599434558,0.752222528898856,0.805149346450997,0.837909602831573,0.825418583697072,0.812932848852711,0.775566907977722,0.750321225735075,2020-03-30,"Real Data","1"
0.87720096225035,0.82903451062465,0.81790935248707,0.804434448964927,0.888266037010435,0.902692827750399,0.812019392103964,0.739821356564172,0.804382888916766,2020-03-31,"Real Data","1"
