at1,at2,at3,at4,at5,at6,at7,at8,at9
0.799120822342477,0.772021511986146,0.776702995034407,0.754353419846041,0.798963345724761,0.737655902395743,0.633449589491477,0.77201770791004,0.813219049561292
0.684708419475644,0.861653563581237,0.668549731919869,0.821077892529989,0.836068821503539,0.811750975942684,0.711797902040608,0.800267230279915,0.65272222023553
0.783459976296466,0.731754634850107,0.772277355731315,0.741670944140893,0.817473159290095,0.834322907587119,0.834992817522477,0.873728272110231,0.77613494583861
0.78462071910606,0.841168463870781,0.756205555272193,0.817033899124945,0.850040158161209,0.763269928008645,0.917085404388403,0.907137627608777,0.733745622622682
0.674249911577534,0.709285570276811,0.674090151086733,0.768460347193886,0.82822550173471,0.710639507338029,0.756062213687737,0.87046673719243,0.679726396572243
0.693427183483213,0.703754839727797,0.678479933582401,0.746214770307548,0.847576733398381,0.73636149948244,0.834303776581486,0.855355601555059,0.653661491589875
0.718507382311066,0.721404257636886,0.707556674783421,0.754014503785982,0.778151395227524,0.68727949316888,0.70466192631441,0.822548628288161,0.72594033290926
0.689863824031661,0.767047511186954,0.700666340313098,0.696082228766367,0.853659272664432,0.775099009555971,0.788126749774643,0.900916457246508,0.678300852952728
0.77435002408362,0.725992016243448,0.771492445649057,0.703547453346084,0.89238001411355,0.79864241516524,0.837116352010633,0.830576856131579,0.781854791784661
0.737723312337248,0.853429076100289,0.727573873132827,0.836939690859008,0.867196544968218,0.857484149858345,0.770657001306258,0.882763181249499,0.710166970428329
0.678939024189317,0.879049218210795,0.698910313121177,0.751915792143412,0.846010992088453,0.84492719439049,0.827595741574465,0.861282309305724,0.679985862397382
0.673738056365267,0.767248920244579,0.602415205064914,0.780721323415667,0.830689561699739,0.766817143332331,0.741473867305026,0.838596765680998,0.588125778414872
0.603284568491568,0.758282652197151,0.558632341001065,0.754774872938238,0.855876999074557,0.642970628153848,0.860211758071651,0.875554656867357,0.54974493794608
0.618273085124172,0.790518521588001,0.63733356547,0.799849620517894,0.879454223848232,0.699754161403217,0.721716991233164,0.842254131489832,0.617197570034691
0.833465466691675,0.874927723000053,0.837450868046452,0.88114016825343,0.908890967681272,0.863739125110814,0.762477406205623,0.823977369329995,0.836622728528971
0.824296537024978,0.863400680099578,0.921103675672836,0.910577682893636,0.929621398183605,0.837548814084805,0.775612120898434,0.79629541796999,0.917979397958851
0.827007340928355,0.865572479249398,0.845029340614187,0.826307237477112,0.884195819149783,0.756578012149627,0.901099730924422,0.929291514127884,0.870947692315576
0.704105749690101,0.720015930442989,0.696089708450718,0.767540524446276,0.830603877205009,0.703285125542487,0.800308875278187,0.840633505854846,0.679293706110762
0.725698891838729,0.743379456067005,0.726023926232698,0.891276846316991,0.905047252102965,0.71151170776328,0.752096928258861,0.80772204539434,0.731466431478175
0.77263896778015,0.889118158026096,0.781226951505228,0.80465755519544,0.86832975640149,0.841230570944469,0.839686708424978,0.863925531977116,0.761847870864135
0.773547296222753,0.717654694726479,0.689490310862926,0.805108331076908,0.879441419884753,0.711279412890741,0.878030575129666,0.880820351082038,0.713898811911022
0.652117818203624,0.703913376205366,0.655820672340904,0.776104780871139,0.782905744532829,0.712043364868899,0.719868849016359,0.832173008639046,0.651638725864462
0.681169597385542,0.762545362135537,0.728811286275572,0.877577565334837,0.889719434006718,0.686769425801012,0.885828317356255,0.872832051763527,0.719441711221314
0.684859226470243,0.765042730962081,0.698451122594813,0.826314952685876,0.876717719235553,0.761541271608219,0.829347486504353,0.930381646005104,0.698157302322514
0.601850660186881,0.709626259907063,0.630876114162951,0.701482817803643,0.885839219281681,0.785781308467932,0.812797889090334,0.885041005638708,0.593298247785092
0.612717196285713,0.745666869154617,0.673698848687802,0.754594732448711,0.815811423939591,0.760965153917041,0.7752327124823,0.811452548670147,0.654526965295182
0.595435960129129,0.830857751109642,0.664235206610882,0.775288977836864,0.890998424345253,0.784941232145033,0.802850383520637,0.836082485487976,0.610176580181187
